code,name,chapter,description,inclusions,source_datasets
I31,Other diseases of pericardium,Diseases of the circulatory system,"A category for structural problems with the heart sac that aren't sudden infections. The most common condition here is a pericardial effusion (excess fluid buildup inside the sac). If too much fluid accumulates inside the rigid pericardial sac, it begins to physically compress the heart. In severe cases, this leads to a life-threatening crisis called cardiac tamponade, where the heart is squeezed so tightly that it cannot expand fully to fill with blood, causing blood pressure to plummet.",,National Scotland
I33,Acute and subacute endocarditis,Diseases of the circulatory system,"Active inflammation of the heart sac caused entirely by an underlying systemic illness. Instead of a simple viral infection, an autoimmune disease (like Lupus or Rheumatoid Arthritis) or a cancer causes the immune system to attack the heart sac. The two layers of the sac become inflamed and rub against each other like sandpaper every time the heart beats.",,National Scotland
I34,Nonrheumatic mitral valve disorders,Diseases of the circulatory system,"Malfunctions of the mitral valve (the valve separating the left upper and lower chambers) not caused by historic rheumatic fever. Covers mitral valve prolapse (the valve flaps bulge backward like a loose parachute) or mitral regurgitation (the valve leaks, causing blood to flow backward into the lungs instead of moving forward to the body). This forces the heart to work twice as hard to pump the same amount of blood.",,National Scotland
I35,Nonrheumatic aortic valve disorders,Diseases of the circulatory system,"Malfunctions of the aortic valve (the main exit gate from the heart to the rest of the body).Commonly covers aortic stenosis, where the valve becomes stiff, calcified, and narrowed. The heart muscle must generate immense, dangerous pressure to force blood through the tiny opening, causing the muscle to thicken and eventually tire out.",,National Scotland
I420,Dilated cardiomyopathy,Diseases of the circulatory system,"A chronic disease where the heart's main pumping chamber (the left ventricle) becomes enlarged, stretched out, and structurally weakened.Think of the heart muscle stretching out like an overused rubber band. Because the heart walls become thin and floppy, the muscle cannot squeeze forcefully enough to push blood out to the rest of the body. This causes blood to back up into the lungs and liver, eventually leading to congestive heart failure. It also stretches the internal electrical wiring, triggering dangerous heart rhythms.",Congestive cardiomyopathy,Tayside and Fife
I44,Atrioventricular and left bundle-branch block,Diseases of the circulatory system,"An electrical ""traffic jam"" or total blockage in the wiring that coordinates the top and bottom chambers of the heart. (This was the final code on your previous list, marking a slowed or disrupted electrical pulse).",,National Scotland
I45,Other conduction disorders,Diseases of the circulatory system," A broad category for other specific electrical wiring defects in the heart, such as Right Bundle Branch Block (RBBB) or pre-excitation syndromes (like Wolff-Parkinson-White).The electrical signal traveling through the heart muscle is forced to take a detour because a specific pathway is damaged. This causes one ventricle to squeeze a fraction of a second later than the other, making the heart pump less efficiently.",,National Scotland
I46,Cardiac arrest,Diseases of the circulatory system,"A sudden, life-threatening medical emergency where the heart completely stops beating out of nowhere. It is an electrical failure, distinct from a heart attack (which is a plumbing/circulation blockage).: The heart's electrical system completely misfires, causing the heart to suddenly stop pumping blood. Within seconds, blood stops flowing to the brain, lungs, and vital organs. The person immediately loses consciousness and stops breathing. Without immediate CPR and a shock from a defibrillator (AED), death occurs within minutes.",,National Scotland
I47,Paroxysmal tachycardia,Diseases of the circulatory system,"Sudden, episodic bursts of an extremely fast heart rate (usually over 100 to 250 beats per minute) that start and stop abruptly. An abnormal electrical short-circuit in the upper or lower chambers takes over the heart's natural pacemaker. Because the heart is beating so rapidly, the chambers do not have enough time to fill up with blood between beats, causing blood pressure to drop.",,National Scotland
I48,Atrial fibrillation and flutter,Diseases of the circulatory system,"The most common chronic heart rhythm disorder. It causes the upper chambers of the heart (the atria) to beat completely irregularly and chaotically. Instead of a single, coordinated electrical squeeze, the top chambers twitch or quiver chaotically (fibrillate). This prevents blood from being pumped smoothly into the lower chambers, causing blood to pool in the crevices of the heart. If pooled blood forms a clot, it can be pumped straight up to the brain, causing an ischemic stroke.",,National Scotland
I50,Heart failure,Diseases of the circulatory system,The overarching category code for a heart that can no longer keep up with the body's demands for oxygen and blood.,,National Scotland
I500,Congestive heart failure,Diseases of the circulatory system,"The general baseline code used when a patient has a buildup of fluid in the body (congestion) due to heart weakness, but the doctor hasn't specified if it is the left or right side failing.",Congestive heart disease | Right ventricular failure (secondary to left heart failure),Tayside and Fife
I5009,Heart failure,Diseases of the circulatory system," Used for specific, less common sub-types of fluid-overload heart failure, such as high-output heart failure.",,Tayside and Fife
I501,Left ventricular failure,Diseases of the circulatory system,"Failure of the left side of the heart, which is responsible for pumping oxygen-rich blood out to the entire body. When the left ventricle fails to pump blood forward, the fluid gets backed up directly into the lungs. This causes fluid to leak into the lung tissue (pulmonary edema), essentially drowning the air sacs.",Cardiac asthma | Left heart failure | Oedema of lung with mention of heart disease NOS or heart failure | Pulmonary oedema with mention of heart disease NOS or heart failure,Tayside and Fife
I5010,Heart failure,Diseases of the circulatory system, Left-sided heart failure where the physician has not specified if the muscle is failing to squeeze (systolic) or failing to relax (diastolic).,,Tayside and Fife
I5011,Heart failure,Diseases of the circulatory system,"Clinically known as Systolic Heart Failure. The heart muscle has become noticeably stretched, thin, and weak. The ""ejection fraction"" measures the percentage of blood pumped out with each beat; in this condition, that percentage drops dangerously low (often below 40%).",,Tayside and Fife
I5019,Heart failure,Diseases of the circulatory system,"Left-sided heart failure variants, including Diastolic Heart Failure (where the muscle is thick and stiff, meaning it can squeeze fine but cannot relax to fill with enough blood).",,Tayside and Fife
I509,"Heart failure, unspecified",Diseases of the circulatory system," A broad administrative code used when a patient is actively being treated for heart failure, but the medical records lack specific diagnostic tests (like an echocardiogram) to pinpoint the exact chamber or mechanism.","Cardiac, heart or myocardial failure NOS",Tayside and Fife
I5090,Heart failure,Diseases of the circulatory system," A highly generalized billing code indicating heart failure is present, but missing all structural sub-details.",,Tayside and Fife
I5099,Heart failure,Diseases of the circulatory system, A secondary catch-all for atypical heart failure manifestations that do not meet standard left or right definitions.,,Tayside and Fife
I51,Complications and ill-defined descriptions of heart disease,Diseases of the circulatory system,"A broad category used for generic heart issues that aren't fully diagnosed yet, such as an enlarged heart (cardiomegaly) or a ruptured intracardiac structure.",,National Scotland
I60,Subarachnoid haemorrhage,Diseases of the circulatory system,"A catastrophic medical emergency involving a specific type of stroke where there is life-threatening bleeding into the space surrounding the brain. A blood vessel on the surface of the brain (often a brain aneurysm) suddenly bursts. Blood floods into the subarachnoid space—the area between the brain and the thin skull tissues where cerebrospinal fluid flows. The sudden bleeding causes a massive, dangerous spike in pressure inside the skull, compressing vital brain structures and cutting off oxygen.",,National Scotland
I609,"Subarachnoid haemorrhage, unspecified",Diseases of the circulatory system," A severe, life-threatening emergency where a blood vessel bursts and leaks blood into the protective space surrounding the brain, without the exact source artery being specified.",,Tayside and Fife
I61,Intracerebral haemorrhage,Diseases of the circulatory system," A stroke caused by a blood vessel bursting directly inside the brain tissue itself.Chronic high blood pressure often weakens the small arteries deep within the brain until one ruptures. The leaking blood pools rapidly, forming a clot (hematoma) that physically compresses, crushes, and starves the surrounding brain cells of oxygen.",,National Scotland
I619,"Intracerebral haemorrhage, unspecified",Diseases of the circulatory system,A stroke caused by bleeding inside the brain tissue where the medical record does not specify the exact localized artery or hemisphere.,,Tayside and Fife
I62,Other nontraumatic intracranial haemorrhage,Diseases of the circulatory system, A category for other types of brain bleeding that are not caused by direct physical trauma (like a car crash or a fall). This includes conditions like subdural or epidural hematomas that happen spontaneously due to blood thinners or weak blood vessels.,,National Scotland
I620,Nontraumatic subdural haemorrhage,Diseases of the circulatory system,"Bleeding that pools in the space between the brain's outer protective membrane (the dura) and the brain itself, occurring without an external injury. It is common in older adults or individuals taking strong blood thinners, where fragile veins tear and slowly leak blood over days or weeks.",,Tayside and Fife
I63,Cerebral infarction,Diseases of the circulatory system,The formal medical term for an acute ischemic stroke. It is a time-sensitive emergency.,"occlusion and stenosis of cerebral and precerebral arteries (including truncus brachiocephalicus), resulting in cerebral infarction",National Scotland
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Diseases of the circulatory system,A stroke caused by severe narrowing (stenosis) or total blockage (occlusion) in multiple main arteries in the neck that lead up to the brain (such as both carotid arteries or the vertebral arteries).,,Tayside and Fife
I638,Other cerebral infarction,Diseases of the circulatory system,"An ischemic stroke caused by less common or unusual mechanisms, such as a sudden tear in the lining of a brain artery (arterial dissection).",,Tayside and Fife
I639,"Cerebral infarction, unspecified",Diseases of the circulatory system,"The most frequently used stroke code. It means a patient definitively suffered a standard stroke caused by a blood clot, but the exact artery location or the root source of the clot was not specified.",,Tayside and Fife
I64,"Stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,"A highly generalized, emergency baseline code. It means a patient is actively suffering an acute stroke, but it is unspecified whether it is being caused by a bleed or a blood clot (usually used before a brain scan can be completed).",Cerebrovascular accident NOS,National Scotland
I64X,"Stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,"A highly generalized, emergency baseline code. It means a patient is actively suffering an acute stroke, but it is unspecified whether it is being caused by a bleed or a blood clot (usually used before a brain scan can be completed).",Cerebrovascular accident NOS,Tayside and Fife
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Diseases of the circulatory system,"A main artery in the neck is heavily narrowed or blocked, but the body has managed to avoid a full stroke.","embolism of basilar, carotid or vertebral arteries, not resulting in cerebral infarction | narrowing of basilar, carotid or vertebral arteries, not resulting in cerebral infarction | obstruction (complete)(partial) of basilar, carotid or vertebral arteries, not resulting in cerebral infarction | thrombosis of basilar, carotid or vertebral arteries, not resulting in cerebral infarction",National Scotland
I652,Occlusion and stenosis of carotid artery,Diseases of the circulatory system,Severe plaque buildup or a partial blockage inside the carotid artery (the massive pulse point in your neck that supplies the front of the brain). It is a major warning sign for future strokes.,,Tayside and Fife
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Diseases of the circulatory system,"Critical narrowing or blockage in the arteries inside the brain itself, without currently causing a full stroke.","embolism of middle, anterior and posterior cerebral arteries, and cerebellar arteries, not resulting in cerebral infarction | narrowing of middle, anterior and posterior cerebral arteries, and cerebellar arteries, not resulting in cerebral infarction | obstruction (complete)(partial) of middle, anterior and posterior cerebral arteries, and cerebellar arteries, not resulting in cerebral infarction | thrombosis of middle, anterior and posterior cerebral arteries, and cerebellar arteries, not resulting in cerebral infarction",National Scotland
I67,Other cerebrovascular diseases,Diseases of the circulatory system,"A  family of chronic, non-acute conditions affecting the blood vessels of the brain.",,National Scotland
I678,Other specified cerebrovascular diseases,Diseases of the circulatory system,Includes conditions like Acute Hypertensive Encephalopathy (where massive blood pressure spikes cause brain swelling) or cerebral ischemia.,Acute cerebrovascular insufficiency NOS | Cerebral ischaemia (chronic),Tayside and Fife
I679,"Cerebrovascular disease, unspecified",Diseases of the circulatory system,"A general diagnostic label indicating long-term, chronic damage or hardening of the brain's blood vessels (such as cerebral arteriosclerosis).",,Tayside and Fife
I69,Sequelae of cerebrovascular disease,Diseases of the circulatory system,"A highly important administrative category used to track the long-term aftereffects or disabilities left behind after a past stroke. This code is used months or years after a stroke has healed. It is paired with codes for lasting challenges, such as aphasia (difficulty speaking), hemiplegia (paralysis on one side of the body), or cognitive changes caused by the historical brain injury.",,National Scotland
I690,Sequelae of subarachnoid haemorrhage,Diseases of the circulatory system," The long-term aftereffects, disabilities, or chronic neurological deficits left behind following a past bleed in the space surrounding the brain. This code is used months or years after the initial emergency has resolved to track permanent issues like chronic headaches, speech difficulties, or cognitive changes caused by the historical injury.",,Tayside and Fife
I693,Sequelae of cerebral infarction,Diseases of the circulatory system,"The chronic, lasting aftereffects resulting from a past stroke caused by a blood clot (ischemic stroke).",,Tayside and Fife
I694,"Sequelae of stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,"Broadly known as ""hardening of the arteries."" Cholesterol, fats, and calcium slowly build up inside the walls of the arteries, forming hard plaques. This narrows the pathways, restricts oxygen-rich blood flow to the body's limbs and organs, and causes the blood vessels to lose their natural elasticity.",,Tayside and Fife
I70,Atherosclerosis,Diseases of the circulatory system,"Hardening and plaque buildup specifically inside the aorta, which is the massive primary artery that carries all oxygen-rich blood away from the heart to the rest of the body.",arteriolosclerosis | arteriosclerosis | arteriosclerotic vascular disease | atheroma | degeneration: arterial | degeneration: arteriovascular | degeneration: vascular | endarteritis deformans or obliterans | senile: arteritis | senile: endarteritis,National Scotland
I709,Generalized and unspecified atherosclerosis,Diseases of the circulatory system,,,Tayside and Fife
I71,Aortic aneurysm and dissection,Diseases of the circulatory system,"A dangerous structural failure in the wall of the aorta.An aneurysm is a balloon-like bulge where the artery wall has worn thin and weak under high pressure. A dissection is a medical emergency where the inner layer of the aorta tears, allowing blood to surge between the layers of the vessel wall and physically split them apart.",,National Scotland
I713,"Abdominal aortic aneurysm, ruptured",Diseases of the circulatory system,"This is a catastrophic, time-sensitive medical emergency. It means the large, ballooned section of the aorta passing through the belly has physically burst open. The aorta is the largest artery in the human body and carries blood directly out of the heart under very high pressure. When an abdominal aneurysm ruptures, blood floods rapidly out of the circulatory system and into the abdominal cavity. The body's blood pressure drops instantly and drastically, starving the brain and vital organs of oxygen. Without immediate emergency trauma surgery to clamp the vessel, it leads to rapid, fatal internal bleeding.",,Tayside and Fife
I714,"Abdominal aortic aneurysm, without mention of rupture",Diseases of the circulatory system," This code means a patient has a known, structural ballooning bulge in the lower part of their aorta, but it is currently intact and has not burst.Due to years of high blood pressure or genetics, the middle layer of the aortic wall becomes weak, thin, and stretched out like an over-inflated tire. As long as it remains unruptured, blood continues to flow through it normally, but it must be monitored meticulously because as the diameter grows, the risk of a sudden rupture increases.",,Tayside and Fife
I72,Other aneurysm and dissection,Diseases of the circulatory system,"This is a broad category code used for a structural bulge (aneurysm) or an internal layer tear (dissection) occurring in any major artery of the body outside of the aorta or brain.Just like the aorta, other high-pressure arteries can wear thin and bulge or tear. This category tracks focal arterial blowouts in localized spots, such as:I72.3: Iliac artery (supplying the pelvis).I72.4: Popliteal artery (the major artery behind the knee—very common and can cause blood clots that cut off flow to the foot).I72.2: Renal artery (the blood line directly feeding the kidneys).",aneurysm (cirsoid)(false)(ruptured),National Scotland
I73,Other peripheral vascular diseases,Diseases of the circulatory system," A condition where cold temperatures or intense emotional stress cause the small blood vessels in the fingers and toes to overreact and suddenly spasm shut. The spasm temporarily cuts off blood flow, causing the fingers or toes to turn stark white, then blue, and feel intensely cold or numb. As blood returns, they turn red and throb or tingle.",,National Scotland
I739,"Peripheral vascular disease, unspecified",Diseases of the circulatory system,,Intermittent claudication | Spasm of artery,Tayside and Fife
I74,Arterial embolism and thrombosis,Diseases of the circulatory system," A sudden, complete blockage in a body artery caused by a stray blood clot (embolism) or a localized clot that formed directly inside the vessel (thrombosis).",infarction: embolic | infarction: thrombotic | occlusion: embolic | occlusion: thrombotic,National Scotland
I77,Other disorders of arteries and arterioles,Diseases of the circulatory system,"A catch-all category for non-plaque artery issues, such as fibromuscular dysplasia or spontaneous arterial tears.",,National Scotland
I771,Stricture of artery,Diseases of the circulatory system,"An abnormal, localized narrowing or tightening of an artery that limits downstream blood flow.",,Tayside and Fife
I78,Diseases of capillaries,Diseases of the circulatory system," Disorders affecting the microscopic, single-cell-thick blood vessels where oxygen and nutrients are actually exchanged with body tissues.",,National Scotland
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",Diseases of the circulatory system,"Microscopic or large blood vessel damage caused directly by an outside systemic disease, such as advanced diabetes.",,National Scotland
I80,Phlebitis and thrombophlebitis,Diseases of the circulatory system,,"endophlebitis | inflammation, vein | periphlebitis | suppurative phlebitis",National Scotland
I82,Other venous embolism and thrombosis,Diseases of the circulatory system," Blood clots forming inside the veins (the vessels carrying blood back to the heart), most notably including Deep Vein Thrombosis (DVT) in the legs.",,National Scotland
I84,Haemorrhoids,Diseases of the digestive system,"Swollen, inflamed, and varicosed veins located in the lowest part of the rectum and anus, which can cause pain, itching, or bleeding.",,National Scotland
I85,Oesophageal varices,Diseases of the circulatory system,"Abnormally enlarged, swollen veins in the lining of the lower esophagus (the swallowing tube).This is usually caused by severe liver scarring (cirrhosis), which blocks normal blood flow through the liver and forces blood back into these fragile veins. If they rupture, they cause severe, life-threatening internal vomiting of blood.",,National Scotland
I859,Oesophageal varices without bleeding,Diseases of the circulatory system,"This code tracks a serious condition where the veins in the walls of the lower esophagus (the swallowing tube connecting the mouth to the stomach) have become abnormally swollen, stretched out, and widened. At the time this code is used, these fragile veins are intact and have not ruptured or bled. This is almost always a secondary complication of severe liver disease (like cirrhosis). Scar tissue in the liver acts like a traffic jam, blocking normal blood flow. To get back to the heart, the blood is forced to take an alternate detour through the tiny, fragile veins of the throat. Because these vessels were never designed to hold that much volume, they swell under the massive pressure (known as portal hypertension).",Oesophageal varices NOS,Tayside and Fife
I86,Varicose veins of other sites,Diseases of the circulatory system," Stretched, twisted, and enlarged veins occurring in areas of the body other than the legs or rectum (such as pelvic or scrotal varicose veins).",,National Scotland
I87,Other disorders of veins,Diseases of the circulatory system," Includes Chronic Venous Insufficiency, where the tiny one-way valves inside the leg veins weaken and fail, allowing blood to pool in the lower legs instead of traveling back up to the heart.",,National Scotland
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,Diseases of the circulatory system,"Conditions like lymphedema, where the body's fluid drainage network is blocked, causing chronic, heavy swelling in an arm or leg.",,National Scotland
I95,Hypotension,Diseases of the circulatory system," The clinical term for abnormally low blood pressure (typically a reading below 90/60 mmHg).Unlike high blood pressure, which strains vessels over time, low blood pressure means there isn't enough pushing force to drive oxygen-rich blood up to your brain and vital organs. It can be caused by dehydration, severe infections (sepsis), heart issues, or certain medications.",,National Scotland
I97,"Postprocedural disorders of circulatory system, not elsewhere classified",Diseases of the circulatory system,"An administrative code used when a patient develops a cardiovascular problem as a direct result of a medical procedure or surgery. This covers issues that happen during or immediately after a surgery, such as a patient's blood pressure bottoming out on the operating table, structural damage to a blood vessel caused by a surgical tool, or a heart rhythm issue triggered by anesthesia.",,National Scotland
I98,Other disorders of circulatory system in diseases classified elsewhere,Diseases of the circulatory system,This is a secondary code used when an underlying illness—like a metabolic disorder or an autoimmune disease—actively damages or degrades the blood vessels and heart.,,National Scotland
I982A,Other disorders of circulatory system in diseases classified elsewhere,Diseases of the circulatory system,"This code specifically links swollen throat veins (esophageal varices) directly to a primary underlying condition, most commonly cirrhosis or severe liver failure.As scar tissue takes over the liver, it blocks normal blood flow. Blood is forced to take a high-pressure detour through the tiny, fragile veins lining the lower throat. Because these vessels aren't built for that much volume, they swell up like balloons. The ""A"" in your specific system typically denotes an active or monitored chronic presentation.",,Tayside and Fife
I99,Other and unspecified disorders of circulatory system,Diseases of the circulatory system,"A broad, final catch-all billing code. It is used when a patient clearly has a disorder affecting their blood vessels or circulation, but the medical record does not provide enough specific details to assign it to a precise disease.",,National Scotland
J03,Acute tonsillitis,Diseases of the respiratory system,"A sudden, rapid-onset infection and inflammation of the tonsils (the two oval-shaped pads of tissue at the back of the throat). Usually caused by a common cold virus or a bacterial infection (like Strep throat), the immune system floods the tonsils with white blood cells to fight the invader. This causes the throat tissue to swell drastically, turn bright red, and often become coated in painful white spots of pus.",,National Scotland
J06,Acute upper respiratory infections of multiple and unspecified sites,Diseases of the respiratory system,"The standard medical classification for a severe common cold or general upper airway viral infection that hits the throat, nose, and sinuses all at once.",,National Scotland
J10,Influenza due to identified seasonal influenza virus,Diseases of the respiratory system,"Flu symptoms confirmed by a lab to be caused by a specific, known seasonal virus strain (such as standard Influenza A or B), but excluding rare avian or novel pandemic strains. The virus infects the upper and lower respiratory tracts, causing inflammation, cell death in the airway linings, and a massive immune system response. This triggers high fevers, body aches, severe fatigue, dry cough, and a sore throat.",,National Scotland
J15,"Bacterial pneumonia, not elsewhere classified",Diseases of the respiratory system," Lung infections caused by other specific bacteria, such as Staphylococcus or H. influenzae.",bronchopneumonia due to bacteria other than S. pneumoniae and H. influenzae,National Scotland
J17,Pneumonia in diseases classified elsewhere,Diseases of the respiratory system," J17 is a unique ""manifestation code"". It means the patient has pneumonia (a severe lung infection), but it is a direct consequence or symptom of a completely different primary disease that belongs to another area of medicine (like a tropical parasite, fungal infection, or bacterial disease).The primary disease organism travels through the bloodstream or is inhaled, invading the lower lungs. The immune system rushes white blood cells to fight the infection, causing the tiny air sacs (alveoli) inside the lungs to swell and fill up with inflammatory fluid or pus. This physically blocks oxygen from passing into the blood.",,National Scotland
J18,"Pneumonia, organism unspecified",Diseases of the respiratory system,"The patient definitively has pneumonia visible on a chest X-ray, but the exact bug (bacterial, viral, or fungal) has not been caught in a lab culture yet.",,National Scotland
J22,Unspecified acute lower respiratory infection,Diseases of the respiratory system,"A sudden, short-term infection of the deep airways (such as the bronchial tubes or lungs) where the doctor cannot pinpoint the exact location or specific virus/bacteria.The lower respiratory tract becomes inflamed and irritated, causing excess mucus production and airway swelling.",Acute (lower) respiratory (tract) infection NOS,National Scotland
J35,Chronic diseases of tonsils and adenoids,Diseases of the respiratory system,": Long-standing, permanent swelling or repeat infections of the tonsils (throat tissue) or adenoids (tissue high in the back of the nose). Due to chronic inflammation, these tissues grow abnormally large. Instead of protecting the body from germs, they become permanently clogged with bacteria, causing breathing and swallowing pathways to physically narrow.",,National Scotland
J36,Peritonsillar abscess,Diseases of the respiratory system,"A critical, severe complication of tonsillitis, commonly known as Quinsy. An infection rips past the tonsil and forms a hidden pocket of active pus deep inside the surrounding throat tissue. The abscess swells rapidly, pushing the tonsil and the uvula (the hanging tissue at the back of the throat) toward the opposite side, which can physically close off the airway.",Abscess of tonsil | Peritonsillar cellulitis | Quinsy,National Scotland
J38,"Diseases of vocal cords and larynx, not elsewhere classified",Diseases of the respiratory system,"Structural or nerve damage directly affecting the voice box (larynx) and the vocal cords.This covers physical issues like vocal cord nodules/polyps (calluses from screaming or straining the voice), or vocal cord paralysis (where the nerve controlling the vocal cord is severed during surgery or damaged by a virus, leaving it frozen open or closed).",,National Scotland
J39,Other diseases of upper respiratory tract,Diseases of the respiratory system,A general administrative category for upper airway conditions that do not fit neatly into standard infections or allergies.,,National Scotland
J40X,"Bronchitis, not specified as acute or chronic",Diseases of the respiratory system,"General inflammation of the main bronchial breathing tubes inside the lungs, used when the medical record doesn't specify if it is a short-term bug or a lifetime illness. The inner lining of the airways becomes red and irritated, causing the mucus glands to overproduce thick phlegm.",Bronchitis: NOS | Bronchitis: catarrhal | Bronchitis: with tracheitis NOS | Tracheobronchitis NOS,Tayside and Fife
J43,Emphysema,Diseases of the respiratory system,"A progressive, destructive lung disease where the lung's air sacs lose their elasticity and structural shape.",,National Scotland
J439,"Emphysema, unspecified",Diseases of the respiratory system," Standard, classic emphysema.WStrongly linked to long-term cigarette smoking, the walls of the millions of microscopic air sacs (alveoli) are permanently burned away and destroyed. Instead of thousands of tiny, elastic bubbles that expand and deflate, they rupture into massive, floppy, inelastic holes. Air becomes physically trapped inside these dead spaces, meaning the body cannot push old carbon dioxide out to let fresh oxygen in.",Emphysema (lung)(pulmonary): NOS | Emphysema (lung)(pulmonary): bullous | Emphysema (lung)(pulmonary): vesicular | Emphysematous bleb,Tayside and Fife
J44,Other chronic obstructive pulmonary disease,Diseases of the respiratory system,"The overarching parent medical category for COPD—a long-term, progressive umbrella disease that blocks airflow and makes it incredibly difficult to breathe. It typically combines elements of emphysema and chronic bronchitis.",chronic: bronchitis: asthmatic (obstructive) | chronic: bronchitis: emphysematous | chronic: bronchitis: with: airways obstruction | chronic: bronchitis: with: emphysema | chronic: obstructive: asthma | chronic: obstructive: bronchitis | chronic: obstructive: tracheobronchitis,National Scotland
J440,Chronic obstructive pulmonary disease with acute lower respiratory infection,Diseases of the respiratory system," A dangerous clinical event where a patient with baseline COPD catches a sudden lung infection (like acute bronchitis or pneumonia).Because the patient’s lungs are already severely compromised, a minor viral or bacterial infection triggers massive inflammation. The airways swell shut further, mucus production explodes, and the patient plunges into acute respiratory distress, often requiring emergency oxygen or hospitalization.",,Tayside and Fife
J441,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Diseases of the respiratory system,"This code tracks an acute, sudden COPD flare-up. Unlike J44.0 (which is triggered by a specific, diagnosed infection like pneumonia), an exacerbation means the patient's breathing has suddenly spiraled out of control due to environmental triggers like heavy smog, cold weather, cigarette smoke, or high stress. The baseline inflammation inside the damaged bronchial tubes suddenly explodes. The smooth muscles around the airways spasm and tighten, while the mucus glands go into overdrive, flooding the narrowed pathways with thick phlegm. Air becomes severely trapped inside the lungs, and the patient cannot physically exhale enough carbon dioxide, causing oxygen levels in the blood to drop rapidly. This is a serious event that often requires emergency department treatment.",,Tayside and Fife
J449,"Chronic obstructive pulmonary disease, unspecified",Diseases of the respiratory system,"The standard billing code used for a patient with normal, daily, stable COPD. It indicates they have chronic airflow limitation, but are currently at their normal baseline without an active emergency or infection flare-up.",Chronic obstructive: airway disease NOS | Chronic obstructive: lung disease NOS,Tayside and Fife
J45,Asthma,Diseases of the respiratory system,"Chronic, highly sensitive airways that suddenly swell shut, fill with mucus, and go into severe muscle spasms when exposed to a trigger (like dust, cold air, or exercise).",,National Scotland
J450,Predominantly allergic asthma,Diseases of the respiratory system,"Asthma that is directly triggered by an allergic immune response to environmental particles. When the patient inhales an allergen (like pollen, dust mites, pet dander, or mold), the body mistakenly treats it as a dangerous threat. It floods the lungs with IgE antibodies, which causes the airways to swell, secrete thick mucus, and experience sudden muscle spasms (bronchospasms).",Allergic: bronchitis NOS | Allergic: rhinitis with asthma | Atopic asthma | Extrinsic allergic asthma | Hay fever with asthma,Tayside and Fife
J459,"Asthma, unspecified",Diseases of the respiratory system,"The standard, general billing code used for a patient diagnosed with chronic asthma when the medical record does not explicitly specify whether it is allergic, non-allergic, or exercise-induced.",Asthmatic bronchitis NOS | Late-onset asthma,Tayside and Fife
J47,Bronchiectasis,Diseases of the respiratory system," A chronic, progressive condition where the large bronchial tubes in the lungs become permanently stretched out, widened, and severely scarred.What happens to the body: Usually caused by severe, repeated childhood lung infections or conditions like Cystic Fibrosis, the airway walls lose their natural muscular support and become floppy. Because the tubes are abnormally wide and limp, they act like traps, allowing heavy pools of thick mucus to settle deep in the lungs. This constant pool of stagnant mucus becomes a breeding ground for chronic bacterial growth.",Bronchiolectasis,National Scotland
J47X,Bronchiectasis,Diseases of the respiratory system," A chronic, progressive condition where the large bronchial tubes in the lungs become permanently stretched out, widened, and severely scarred.What happens to the body: Usually caused by severe, repeated childhood lung infections or conditions like Cystic Fibrosis, the airway walls lose their natural muscular support and become floppy. Because the tubes are abnormally wide and limp, they act like traps, allowing heavy pools of thick mucus to settle deep in the lungs. This constant pool of stagnant mucus becomes a breeding ground for chronic bacterial growth.",Bronchiolectasis,Tayside and Fife
J69,Pneumonitis due to solids and liquids,Diseases of the respiratory system," Commonly known as Aspiration Pneumonitis. It occurs when foreign material is accidentally swallowed down the windpipe into the lungs instead of going down the esophagus into the stomach.  Most frequently happening to individuals with swallowing disorders, stroke survivors, or during periods of unconsciousness, highly caustic stomach acid, vomit, or food particles travel into the lungs. The stomach acid chemically burns and dissolves the delicate lung tissues on contact, causing rapid, severe inflammation followed quickly by an aggressive bacterial infection.",,National Scotland
J70,Respiratory conditions due to other external agents,Diseases of the respiratory system,"Lung damage or sudden inflammation caused by inhaling non-dust chemicals, environmental gases, fumes, or as a toxic side effect from taking certain medications (like chemotherapy drugs or certain heart pills).",,National Scotland
J81,Pulmonary oedema,Diseases of the respiratory system,"An acute, severe medical event where the lungs physically fill up with fluid. It is most commonly caused by advanced congestive heart failure.When the heart muscle weakens, it can no longer pump blood forward efficiently. Blood backs up into the veins of the lungs, causing the blood pressure inside those tiny vessels to spike. The intense pressure forces clear fluid to leak straight through the vessel walls and flood into the air sacs (alveoli). This leaves no room for oxygen exchange, essentially causing the patient to drown internally.",Acute oedema of lung | Pulmonary congestion (passive),National Scotland
